Subject,Session,Block,Index,Reward,Correct_Side,Choice,Response_Latency,Date,Side,Chosen_Higher_Probability,Trial,log_Response_Latency,Task_Type,NewRunIndex,BlockGlobalIndex
F2,1,S,2,1,0,0,11,25-Apr-2025,0,1,98,2.39789527279837,0,1,1
F2,1,S,2,1,0,0,82,25-Apr-2025,0,1,99,4.40671924726425,0,1,1
F2,1,V,2,0,1,0,114,25-Apr-2025,1,0,100,4.7361984483945,0,1,2
F2,1,V,2,1,1,1,82,25-Apr-2025,1,1,101,4.40671924726425,0,1,2
F2,1,V,2,0,0,1,40,25-Apr-2025,1,1,102,3.68887945411394,0,1,2
F2,1,V,2,1,1,1,340,25-Apr-2025,1,1,103,5.82894561761021,0,1,2
F2,1,V,2,0,1,0,41,25-Apr-2025,1,0,104,3.71357206670431,0,1,2
F2,1,V,2,0,1,0,49,25-Apr-2025,1,0,105,3.89182029811063,0,1,2
F2,1,V,2,1,1,1,115,25-Apr-2025,1,1,106,4.74493212836325,0,1,2
F2,1,V,2,1,1,1,52,25-Apr-2025,1,1,107,3.95124371858143,0,1,2
F2,1,V,2,1,0,0,481,25-Apr-2025,1,0,108,6.17586727010576,0,1,2
F2,1,V,2,0,1,0,1012,25-Apr-2025,1,0,109,6.91968384984741,0,1,2
F2,1,V,2,1,0,0,333,25-Apr-2025,0,1,110,5.80814248998044,0,1,2
F2,1,V,2,0,0,1,1374,25-Apr-2025,0,0,111,7.22548147278229,0,1,2
F2,1,V,2,1,0,0,73,25-Apr-2025,0,1,112,4.29045944114839,0,1,2
F2,1,V,2,1,0,0,13,25-Apr-2025,0,1,113,2.56494935746154,0,1,2
F2,1,V,2,0,1,0,154,25-Apr-2025,0,1,114,5.03695260241363,0,1,2
F2,1,V,2,1,1,1,80,25-Apr-2025,0,0,115,4.38202663467388,0,1,2
F2,1,V,2,0,0,1,188,25-Apr-2025,0,0,116,5.23644196282995,0,1,2
F2,1,V,2,1,0,0,57,25-Apr-2025,0,1,117,4.04305126783455,0,1,2
F2,1,V,2,1,0,0,12,25-Apr-2025,0,1,118,2.484906649788,0,1,2
F2,1,V,2,1,0,0,51,25-Apr-2025,0,1,119,3.93182563272433,0,1,2
F2,1,V,2,1,0,0,84,25-Apr-2025,0,1,120,4.43081679884331,0,1,2
F2,1,V,2,1,0,0,12,25-Apr-2025,0,1,121,2.484906649788,0,1,2
F2,1,V,2,0,1,0,460,25-Apr-2025,0,1,122,6.13122648948314,0,1,2
F2,1,V,2,0,0,1,43,25-Apr-2025,0,0,123,3.76120011569356,0,1,2
F2,1,V,2,0,0,1,3376,25-Apr-2025,0,0,124,8.12444685571585,0,1,2
F2,1,V,2,0,0,1,360,25-Apr-2025,0,0,125,5.88610403145016,0,1,2
F2,1,V,2,1,1,1,240,25-Apr-2025,0,0,126,5.48063892334199,0,1,2
F2,1,V,2,0,0,1,29,25-Apr-2025,0,0,127,3.36729582998647,0,1,2
F2,1,V,2,1,0,0,85,25-Apr-2025,0,1,128,4.44265125649032,0,1,2
F2,1,V,2,1,0,0,43,25-Apr-2025,0,1,129,3.76120011569356,0,1,2
F2,1,V,2,0,1,0,207,25-Apr-2025,1,0,130,5.33271879326537,0,1,2
F2,1,V,2,0,1,0,934,25-Apr-2025,1,0,131,6.83947643822884,0,1,2
F2,1,V,2,0,0,1,26,25-Apr-2025,1,1,132,3.25809653802148,0,1,2
F2,1,V,2,1,1,1,316,25-Apr-2025,1,1,133,5.75574221358691,0,1,2
F2,1,V,2,1,1,1,17,25-Apr-2025,1,1,134,2.83321334405622,0,1,2
F2,1,V,2,1,1,1,456,25-Apr-2025,1,1,135,6.12249280951439,0,1,2
F2,1,V,2,0,1,0,16,25-Apr-2025,1,0,136,2.77258872223978,0,1,2
F2,1,V,2,0,1,0,39,25-Apr-2025,1,0,137,3.66356164612965,0,1,2
F2,1,V,2,1,1,1,75,25-Apr-2025,1,1,138,4.31748811353631,0,1,2
F2,1,V,2,0,0,1,2,25-Apr-2025,1,1,139,0.693147180559945,0,1,2
F2,1,V,2,1,0,0,15,25-Apr-2025,0,1,140,2.70805020110221,0,1,2
F2,1,V,2,1,0,0,94,25-Apr-2025,0,1,141,4.54329478227,0,1,2
F2,1,V,2,1,0,0,21,25-Apr-2025,0,1,142,3.04452243772342,0,1,2
